Course ID, Course Code, Course Name, Faculty ID, Faculty Name
013580,AHS150,Foundations of Human Anatomy and Physiology,"This course covers the anatomy and physiology of the human body systems, with an emphasis on the relationship between a body organ's structure and its function. Topics include organization of the human body, basic chemistry, the cell, tissues, bones and muscles, the nervous system, the blood, cardiovascular system and the urinary system. It is designed for students who have little formal knowledge of the human body but who wish to learn about the human body, or train for a career in Therapeutic Recreation or other social and community services.",AHS
006420,GERON201,Aging and Health,"This course focuses on the challenges facing older adults and on strategies to promote successful aging. A basic understanding of the physical aging process is explored, distinguishing between pathological states/illness and normal change. Many physical changes and associated functional decline are affected by modifiable factors such as sedentary lifestyles, substance abuse, and diet. Education, environment, and personal supports also play key roles in preventing illness and accidents (e.g. falls, driving accidents, and medication errors). The course addresses the interests of those working with older adults, and anyone who has older grandparents, parents, or friends.",AHS
006426,GERON210,Development, Aging and Health,"The physiology of human growth, development and aging is examined, with special reference to the influence of diet, environment, exercise and disease on the normal processes.",AHS
006428,GERON218,Psychology of Death and Dying,"Variations in the meaning and significance of death and dying will be considered from a psychological perspective, with particular attention to the contexts (e.g., cultural, familial, life-span developmental) in which these variations occur.",AHS
006429,GERON220,Psychosocial Perspectives on Lifespan Development and Health,"This course will focus on psychosocial aspects of development of the individual and their influence on the individual's health and well-being. Through the use of the lifespan approach, the course will emphasize development as a life-long process, but will place particular emphasis on health and aging.",AHS
006430,GERON245,The Canadian Health Care System,"This course examines the Canadian health care system by considering organizational principles, health resources, service utilization, health care planning and health promotion strategies. There is a focus on societal and political issues which affect the health of the society through the delivery system.",AHS
006156,GERON255,The Biology of Aging,"An introductory study of the biological processes of aging at the molecular, cellular and systemic levels. Topics include an examination of the theories of aging, methods used to study the aging process, the role of diseases and chronological changes in the organism during senescence. [Offered: F]",AHS
006438,GERON352,Sociology of Aging,"An introduction to individual and population aging. Topics discussed include: aging from a historical and comparative perspective; aging in subcultures; aging and the social structure; aging and social processes; aging and the environment; work and retirement; and aging and leisure patterns.",AHS
013897,GERON355,Biology of Human Aging,"An overview of current aspects of the biology of human aging and the functional changes associated with both normal aging and pathological problems often present in the elderly. Biological theories of aging and normal age-related structural and physiological changes on all of the major body systems will be discussed. Extrinsic factors such as diet and exercise and their role on the aging process will be examined as well as various medical treatments. [Offered: F]",AHS
006440,GERON400,Multidisciplinary Seminar on Aging,"Faculty and students from various departments meet to discuss individual and population aging from a multidisciplinary perspective. Topics include the definition of aging, the demography of aging, evolutionary and genetic factors, aging as a social process, and human aging patterns.",AHS
006160,GERON401A,Independent Study in Aging,"For the student who desires to pursue a particular topic in depth through independent research and/or extensive reading. A faculty member must approve a student's project prior to registration for this course.",AHS
