SubjectID,FacultyID,FacultyName
AHS,AHS,Applied Health Sciences
SWK,AHS,Applied Health Sciences
GERON,AHS,Applied Health Sciences
HLTH,AHS,Applied Health Sciences
HSG,AHS,Applied Health Sciences
PHS,AHS,Applied Health Sciences
KIN,AHS,Applied Health Sciences
REC,AHS,Applied Health Sciences
ACC,ART,Arts
AFM,ART,Arts
FINAN,ART,Arts
TAX,ART,Arts
ANTH,ART,Arts
AADMS,ART,Arts
ARBUS,ART,Arts
ARTS,ART,Arts
CULMG,ART,Arts
DAC,ART,Arts
DANCE,ART,Arts
DEI,ART,Arts
GBDA,ART,Arts
GGOV,ART,Arts
HRM,ART,Arts
IFS,ART,Arts
INTST,ART,Arts
INTTS,ART,Arts
JS,ART,Arts
LSC,ART,Arts
MES,ART,Arts
PAS,ART,Arts
PERST,ART,Arts
PS,ART,Arts
CCIV,ART,Arts
CLAS,ART,Arts
GRK,ART,Arts
LAT,ART,Arts
MEDVL,ART,Arts
DRAMA,ART,Arts
SPCOM,ART,Arts
ECON,ART,Arts
ENGL,ART,Arts
ART,ART,Arts
FINE,ART,Arts
VCULT,ART,Arts
FR,ART,Arts
FRCS,ART,Arts
CROAT,ART,Arts
DUTCH,ART,Arts
GER,ART,Arts
HUNGN,ART,Arts
POLSH,ART,Arts
REES,ART,Arts
RUSS,ART,Arts
UKRAN,ART,Arts
HIST,ART,Arts
PHIL,ART,Arts
PSCI,ART,Arts
HRCS,ART,Arts
PSYCH,ART,Arts
RS,ART,Arts
LS,ART,Arts
SOC,ART,Arts
LATAM,ART,Arts
PORT,ART,Arts
SPAN,ART,Arts
WS,ART,Arts
CMW,CGC,Conrad Grebel
MUSIC,CGC,Conrad Grebel
PACS,CGC,Conrad Grebel
TS,CGC,Conrad Grebel
ARCH,ENG,Engineering
PDARCH,ENG,Engineering
ADMGT,ENG,Engineering
BE,ENG,Engineering
BET,ENG,Engineering
CHE,ENG,Engineering
CIVE,ENG,Engineering
GEOE,ENG,Engineering
UN,ENG,Engineering
ECE,ENG,Engineering
ELE,ENG,Engineering
TPM,ENG,Engineering
TPPE,ENG,Engineering
APHYS,ENG,Engineering
BME,ENG,Engineering
ENVE,ENG,Engineering
GENE,ENG,Engineering
NE,ENG,Engineering
PDENG,ENG,Engineering
DM,ENG,Engineering
ME,ENG,Engineering
MTE,ENG,Engineering
MSCI,ENG,Engineering
STV,ENG,Engineering
DES,ENG,Engineering
MSE,ENG,Engineering
SYDE,ENG,Engineering
AES,ENV,Environment
